route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
C01,BUS,C01,Troncal C01 - 39A "Poniente",3,,4C8D2B,FFFFFF
C02,BUS,C02,Troncal C02 - 45A,3,,4C8D2B,FFFFFF
C03,BUS,C03,Troncal C03 - 61 "Mercado de Abastos",3,,4C8D2B,FFFFFF
C04,BUS,C04,Troncal C04 - 110,3,,4C8D2B,FFFFFF
C05,BUS,C05,Troncal C05 - 136,3,,4C8D2B,FFFFFF
C06,BUS,C06,Troncal C06 - 136A,3,,4C8D2B,FFFFFF
C07-V1,BUS,C07-V1,Troncal C07-V1 - 153CTM,3,,4C8D2B,FFFFFF
C07-V2,BUS,C07-V2,Troncal C07-V2 - 153A,3,,4C8D2B,FFFFFF
C08,BUS,C08,Troncal C08 - 156,3,,4C8D2B,FFFFFF
C09,BUS,C09,Troncal C09 - 175D,3,,4C8D2B,FFFFFF
C10,BUS,C10,Troncal C10 - 175E,3,,4C8D2B,FFFFFF
C100,BUS,C100,Troncal C100 - 181 "La Fortuna",3,,4C8D2B,FFFFFF
C101,BUS,C101,Troncal C101 - 186A "San Sebastian - Calera",3,,4C8D2B,FFFFFF
C102,BUS,C102,Troncal C102 - 187,3,,4C8D2B,FFFFFF
C103,BUS,C103,Troncal C103 - 188,3,,4C8D2B,FFFFFF
C104,BUS,C104,Troncal C104 - 629 "Plaza del Sol",3,,4C8D2B,FFFFFF
C105,BUS,C105,Troncal C105 - 808,3,,4C8D2B,FFFFFF
C106,BUS,C106,Troncal C106 - 809,3,,4C8D2B,FFFFFF
C107,BUS,C107,Troncal C107 - 110A,3,,4C8D2B,FFFFFF
C108,BUS,C108,Troncal C108 - 371,3,,4C8D2B,FFFFFF
C109,BUS,C109,Troncal C109 - 629A "CG",3,,4C8D2B,FFFFFF
C110-V1,BUS,C110-V1,Troncal C110-V1 - 629B "Nuevo Mexico - Chori",3,,4C8D2B,FFFFFF
C110-V2,BUS,C110-V2,Troncal C110-V2 - 629B "Primavera - La Venta",3,,4C8D2B,FFFFFF
C111-V1,BUS,C111-V1,Troncal C111-V1 - 176A "Robles",3,,4C8D2B,FFFFFF
C111-V2,BUS,C111-V2,Troncal C111-V2 - 176A "Lomas del Sur",3,,4C8D2B,FFFFFF
