trip_id,stop_id,stop_sequence,stop_headsign,arrival_time,departure_time,timepoint
C01_route_1_0000001_16500,mxc_C01_P_STP_01,0,Libertad,04:35:00,04:35:00,0
C01_route_1_0000001_16500,mxc_C01_P_STP_02,1,Calle Ocampo,04:36:32,04:36:32,0
C01_route_1_0000001_16500,mxc_C01_P_STP_03,2,Calle Parral,04:37:18,04:37:18,0
C01_route_1_0000001_16500,mxc_C01_P_STP_04,3,Calle Parral,04:38:33,04:38:33,0
C01_route_1_0000001_16500,mxc_C01_P_STP_05,4,Calle Parral,04:39:38,04:39:38,0
C01_route_1_0000001_16500,mxc_C01_P_STP_06,5,Av. Inglaterra,04:40:18,04:40:18,0
C01_route_1_0000001_16500,mxc_C01_P_STP_07,6,Perifierico Poniente,04:41:24,04:41:24,0
C01_route_1_0000001_16500,mxc_C01_P_STP_08,7,Concentro,04:43:42,04:43:42,0
C01_route_1_0000001_16500,mxc_C01_P_STP_09,8,Avenida Ignacio Luis Vallarta,04:44:42,04:44:42,0
C01_route_1_0000001_16500,mxc_C01_P_STP_10,9,Funeral Colonias,04:45:31,04:45:31,0
C01_route_1_0000001_16500,mxc_C01_P_STP_11,10,Avenida Ignacio Luis Vallarta,04:46:33,04:46:33,0
C01_route_1_0000001_16500,mxc_C01_P_STP_14,13,Avenida Ignacio Luis Vallarta,04:49:29,04:49:29,0
C01_route_1_0000001_16500,mxc_C01_P_STP_15,14,Jocotan,04:50:45,04:50:45,0
C01_route_1_0000001_16500,mxc_C01_P_STP_17,16,Plaza Galerias,04:53:53,04:53:53,0
C01_route_1_0000001_16500,mxc_C01_P_STP_19,18,Av. Patria,04:56:34,04:56:34,0
C01_route_1_0000001_16500,mxc_C01_P_STP_20,19,A las Motañas,04:57:46,04:57:46,0
C01_route_1_0000001_16500,mxc_C01_P_STP_22,21,Avenida México,05:03:27,05:03:27,0
C01_route_1_0000001_16500,mxc_C01_P_STP_23,22,Avenida México,05:04:22,05:04:22,0
C01_route_1_0000001_16500,mxc_C01_P_STP_25,24,Avenida México,05:06:44,05:06:44,0
C01_route_1_0000001_16500,mxc_C01_P_STP_26,25,Avenida México,05:07:57,05:07:57,0
C01_route_1_0000001_16500,mxc_C01_P_STP_27,26,Avenida México,05:09:14,05:09:14,0
C01_route_1_0000001_16500,mxc_C01_P_STP_28,27,Bismarck,05:09:59,05:09:59,0
C01_route_1_0000001_16500,mxc_C01_P_STP_29,28,Av. Adolfo López Mateos Norte,05:10:49,05:10:49,0
C01_route_1_0000001_16500,mxc_C01_P_STP_30,29,Avenida México,05:12:05,05:12:05,0
C01_route_1_0000001_16500,mxc_C01_P_STP_31,30,Avenida México,05:13:18,05:13:18,0
C01_route_1_0000001_16500,mxc_C01_P_STP_32,31,Ladrón de Guevara,05:14:34,05:14:34,0
C01_route_1_0000001_16500,mxc_C01_P_STP_33,32,Colonia Americana,05:16:04,05:16:04,0
C01_route_1_0000001_16500,mxc_C01_P_STP_34,33,Colonia Americana,05:17:10,05:17:10,0
C01_route_1_0000001_16500,mxc_C01_P_STP_35,34,Colonia Americana,05:18:10,05:18:10,0
C01_route_1_0000001_16500,mxc_C01_P_STP_36,35,Juan Manuel,05:19:10,05:19:10,0
C01_route_1_0000001_16500,mxc_C01_P_STP_37,36,Juan Manuel,05:20:07,05:20:07,0
C01_route_1_0000001_16500,mxc_C01_P_STP_38,37,Juan Manuel,05:21:39,05:21:39,0
C01_route_1_0000001_16500,mxc_C01_P_STP_40,39,Calle Belén,05:24:57,05:24:57,0
C01_route_1_0000001_16500,mxc_C01_P_STP_41,40,Humboldt,05:26:40,05:26:40,0
C01_route_1_0000001_16500,mxc_C08_STP_49,38,Calle Pedro Loza,05:23:27,05:23:27,0
C01_route_1_0000001_16500,mxc_C104_STP_117,17,Velazquez,04:55:19,04:55:19,0
C01_route_1_0000001_16500,mxc_C104_STP_121,20,Avenida México,05:00:51,05:00:51,0
C01_route_1_0000001_16500,mxc_C107_STP_46,23,Avenida México,05:05:31,05:05:31,0
C01_route_1_0000001_16500,mxc_C109_STP_11,15,Santa Maria del Pueblito,04:52:14,04:52:14,0
C01_route_1_0000001_16500,mxc_C110V1_STP_28,11,Los Pirules,04:47:26,04:47:26,0
