stop_id,stop_name,stop_lat,stop_lon
MACRO_001_001,Fray Angélico,20.608238,-103.342834
MACRO_001_002,Esculturas,20.611824,-103.342766
MACRO_001_003,Artes Plásticas,20.616291,-103.3434
MACRO_001_004,Clemente Orozco,20.622398,-103.34669
MACRO_001_005,López De Legazpi,20.627312,-103.34838
MACRO_001_006,Zona Industrial,20.632685,-103.35051
MACRO_001_007,El Dean,20.637522,-103.351425
MACRO_001_008,Lázaro Cárdenas,20.640839,-103.35192
MACRO_001_009,Héroes De Nacozari,20.646578,-103.35275
MACRO_001_010,Ciprés,20.653196,-103.35328
MACRO_001_011,Agua Azul,20.657825,-103.35099
MACRO_001_012,Niños Héroes,20.663885,-103.34797
MACRO_001_013,La Paz,20.666325,-103.34665
MACRO_001_014,Bicentenario,20.668974,-103.34522
MACRO_001_015,San Juan De Dios,20.675953,-103.341415
MACRO_001_016,Alameda,20.680222,-103.339134
MACRO_001_017,Juan Álvarez,20.685347,-103.33634
MACRO_001_018,Ciencias De La Salud,20.689526,-103.334076
MACRO_001_019,Circunvalación,20.696148,-103.3305
MACRO_001_020,Monte Olivete,20.699423,-103.32872
MACRO_001_021,Monumental,20.703999,-103.32622
MACRO_001_022,Igualdad,20.711235,-103.322334
MACRO_001_023,San Patricio,20.715466,-103.320045
MACRO_001_024,Independencia Norte,20.719858,-103.31767
MACRO_001_025,Zoológico,20.726303,-103.31541
MACRO_001_026,Huentitán,20.732027,-103.313705
MACRO_001_027,Mirador,20.737494,-103.31209
MACRO_001_028,Mirador,20.732592,-103.313545
MACRO_001_029,Huentitán,20.732592,-103.313545
MACRO_001_030,Zoológico,20.72701,-103.3152
MACRO_001_031,Independencia Norte,20.720383,-103.3174
MACRO_001_032,San Patricio,20.715994,-103.31978
MACRO_001_033,Igualdad,20.711777,-103.32205
MACRO_001_034,Monumental,20.704016,-103.32626
MACRO_001_035,Monte Olivete,20.699957,-103.328445
MACRO_001_036,Circunvalación,20.696705,-103.33021
MACRO_001_037,Ciencias De La Salud,20.690172,-103.33374
MACRO_001_038,Juan Álvarez,20.684547,-103.336784
MACRO_001_039,Alameda,20.680227,-103.33917
MACRO_001_040,San Juan De Dios,20.67696,-103.340904
MACRO_001_041,Bicentenario,20.670109,-103.344604
MACRO_001_042,La Paz,20.666927,-103.34634
MACRO_001_043,Niños Héroes,20.663073,-103.34843
MACRO_001_044,Agua Azul,20.658386,-103.35076
MACRO_001_045,Ciprés,20.652414,-103.353546
MACRO_001_046,Héroes De Nacozari,20.646578,-103.35281
MACRO_001_047,Lázaro Cárdenas,20.641453,-103.352
MACRO_001_048,El Dean,20.638132,-103.35153
MACRO_001_049,Zona Industrial,20.63325,-103.35072
MACRO_001_050,López De Legazpi,20.627855,-103.34858
MACRO_001_051,Clemente Orozco,20.621378,-103.34635
MACRO_001_052,Artes Plásticas,20.616772,-103.34375
MACRO_001_053,Esculturas,20.611805,-103.34282
MACRO_001_054,Fray Angélico,20.60827,-103.34288
mxa_T06_03_STP_09,Calle Pablo Valdez,20.67448,-103.27734
mxa_T06_03_STP_16,Calle Esteban Alatorre,20.67253,-103.29438
mxa_T06_03_STP_18,Guelatao,20.67421,-103.30151
mxa_T06_03_STP_19,Pánfilo Pérez,20.67517,-103.30451
mxa_T06_03_STP_20,Francisco Gonzalez Bocanegra,20.67598,-103.30722
mxa_T06_03_STP_21,Ignacio Machain,20.67679,-103.30995
mxa_T06_03_STP_25,Pedro Celestino Negrete,20.67959,-103.31918
mxa_T06_03_STP_26,Porfiro Díaz,20.68011,-103.32089
mxa_T06_03_STP_27,Ramón Morales,20.6808,-103.32309
mxa_T06_03_STP_28,Aquiles Serdán,20.68079,-103.32594
mxa_T06_03_STP_36,Jesús Gonzalez Ortega,20.68184,-103.35071
mxa_T06_03_STP_37,Calle Pedro Loza,20.68184,-103.34861
mxa_T06_03_STP_38,Liceo,20.68186,-103.34693
mxa_T06_03_STP_39,Belén,20.68188,-103.34546
mxa_T06_03_STP_41,Calle Pablo Valdez,20.68203,-103.33683
mxa_T06_03_STP_42,Manuel Doblado,20.68198,-103.33158
mxa_T06_03_STP_44,Av. Belisario Domínguez,20.68171,-103.32766
mxa_T06_03_STP_47,Pedro Celestino Negrete,20.68063,-103.31933
mxa_T06_03_STP_49,Rita Pérez de Moreno,20.67921,-103.31465
mxa_T06_03_STP_50,Basilio Badillo,20.67869,-103.31291
mxa_T06_03_STP_52,Francisco Gonzalez Bocanegra,20.67703,-103.30734
mxa_T06_03_STP_55,Felipe Ángles,20.67546,-103.30212
mxa_T06_03_STP_58,Av. Plutarco Elías Calles,20.67391,-103.29603
mxa_T06_03_STP_63,Demóstenes,20.67378,-103.28797
mxa_T06_03_STP_69,Dinar,20.6751,-103.27426
mxa_T07C01_STP_01,Eucalipto,20.76326,-103.36342
mxa_T07C01_STP_02,Eucalipto,20.76379,-103.36561
mxa_T07C01_STP_03,Crisantemos,20.76131,-103.36676
mxa_T07C01_STP_04,Calle Calzada del Vergel,20.75912,-103.36729
mxa_T07C01_STP_06,Calle Calzada del Vergel,20.75712,-103.3677
mxa_T07C01_STP_07,Cabañas,20.7567,-103.36673
mxa_T07C01_STP_08,Sembradores,20.75535,-103.36434
mxa_T07C01_STP_09,Sembradores,20.75524,-103.36389
mxa_T07C01_STP_10,Sembradores,20.7537,-103.36382
mxa_T07C01_STP_102,Avenida Enrique Díaz de León Sur,20.66162,-103.36075
mxa_T07C01_STP_11,Tabachines,20.75328,-103.36313
mxa_T07C01_STP_110,Avenida Enrique Díaz de León Norte,20.67989,-103.35921
mxa_T07C01_STP_111,Avenida Enrique Díaz de León Norte,20.68373,-103.35909
mxa_T07C01_STP_112,Avenida Enrique Díaz de León Norte,20.68666,-103.35901
mxa_T07C01_STP_113,Avenida Enrique Díaz de León Norte,20.68957,-103.35884
mxa_T07C01_STP_114,Avenida de los Maestros,20.69313,-103.35839
mxa_T07C01_STP_115,Tepic,20.69611,-103.3581
mxa_T07C01_STP_116,Avenida Enrique Díaz de León Norte,20.69859,-103.35787
mxa_T07C01_STP_117,Avenida Enrique Díaz de León Norte,20.70073,-103.35754
