trip_id,route_id,service_id,trip_headsign,direction_id,shape_id
C01_route_1_0000001_16500,C01,D,Centro Metropolitano,0,C01_r1
C01_route_2_0000001_21120,C01,D,San Juan de Ocotan,1,C01_r2
C01_trip_1,C01,LS,Centro Metropolitano,0,C01_r1
C01_trip_2,C01,LS,San Juan de Ocotan,1,C01_r2
C02_route_1_0000001_15600,C02,D,Centro Metropolitano,0,C02_r1
C02_route_2_0000001_20280,C02,D,Mision de los Viñedos,1,C02_r2
C02_trip_1,C02,LS,Centro Metropolitano,0,C02_r1
C02_trip_2,C02,LS,Mision de los Viñedos,1,C02_r2
C03_route_1_0000001_15600,C03,D,El Fresno,0,C03_r1
C03_route_1_1111110_18000,C03,LS,El Fresno,0,C03_r1
C03_route_2_0000001_23100,C03,D,Santa Cruz del Valle,1,C03_r2
C03_route_2_1111110_22140,C03,LS,Santa Cruz del Valle,1,C03_r2
C04_route_1_0000001_16200,C04,D,Centro Metropolitano,0,C04_r1
C04_route_2_0000001_19440,C04,D,Huentitan El Bajo,1,C04_r2
C04_trip_1,C04,LS,Centro Metropolitano,0,C04_r1
C04_trip_2,C04,LS,Huentitan El Bajo,1,C04_r2
C05_route_1_0000001_17400,C05,D,Centro Metropolitano,0,C05_r1
C05_route_2_0000001_20640,C05,D,San Pedrito,1,C05_r2
C05_trip_1,C05,LS,Centro Metropolitano,0,C05_r1
C05_trip_2,C05,LS,San Pedrito,1,C05_r2
C06_route_1_0000001_17400,C06,D,Centro Metropolitano,0,C06_r1
C06_route_2_0000001_22440,C06,D,La Cofradia,1,C06_r2
C06_route_2_1111110_81180,C06,LS,La Cofradia,1,C06_r2
C06_route_2_1111110_81180_2,C06,LS,La Cofradia,1,C06_r2
C06_trip_1,C06,LS,Centro Metropolitano,0,C06_r1
C06_trip_1_2,C06,LS,Centro Metropolitano,0,C06_r1
C07-V1_route_1_0000001_17100,C07-V1,D,Centro Metropolitano,0,C07-V1_r1
C07-V1_route_2_0000001_21780,C07-V1,D,Mirador del Rey,1,C07-V1_r2
C07-V1_trip_1,C07-V1,LS,Centro Metropolitano,0,C07-V1_r1
C07-V1_trip_2,C07-V1,LS,Mirador del Rey,1,C07-V1_r2
C07-V2_route_1_0000001_16800,C07-V2,D,Centro Metropolitano,0,C07-V2_r1
C07-V2_route_2_0000001_21720,C07-V2,D,Mision Acueducto,1,C07-V2_r2
C07-V2_trip_1,C07-V2,LS,Centro Metropolitano,0,C07-V2_r1
C07-V2_trip_2,C07-V2,LS,Mision Acueducto,1,C07-V2_r2
C08_route_1_0000011_23040,C08,SD,Centro Metropolitano,0,C08_r1
C08_route_2_0000011_19800,C08,SD,Huentitan,1,C08_r2
C08_trip_1,C08,LV,Centro Metropolitano,0,C08_r1
C08_trip_2,C08,LV,Huentitan,1,C08_r2
C09_route_1_0000001_16200,C09,D,Plaza Centro Sur,0,C09_r1
C09_route_2_0000001_19560,C09,D,Abedules,1,C09_r2
C09_trip_1,C09,LS,Plaza Centro Sur,0,C09_r1
C09_trip_2,C09,LS,Abedules,1,C09_r2
C100_route_1_0000001_18600,C100,D,Plaza Centro Sur,0,C100_r1
C100_route_2_0000001_23340,C100,D,La Fortuna,1,C100_r2
C100_trip_1,C100,LS,Plaza Centro Sur,0,C100_r1
C100_trip_2,C100,LS,La Fortuna,1,C100_r2
C101_route_1_0000001_16500,C101,D,Estacion Periferico Sur Linea 1 Tren Electrico Urbano,0,C101_r1
C101_route_2_0000001_16200,C101,D,Cabecera Municipal de Tlajomulco de Zuñiga,1,C101_r2
C101_trip_1,C101,LS,Estacion Periferico Sur Linea 1 Tren Electrico Urbano,0,C101_r1
C101_trip_2,C101,LS,Cabecera Municipal de Tlajomulco de Zuñiga,1,C101_r2
C102_route_1_0000001_16380,C102,D,Barrio Nuevo,0,C102_r1
C102_route_2_0000001_16200,C102,D,Cabecera Municipal de Tlajomulco de Zuñiga,1,C102_r2
C102_trip_1,C102,LS,Barrio Nuevo,0,C102_r1
C102_trip_2,C102,LS,Cabecera Municipal de Tlajomulco de Zuñiga,1,C102_r2
C103_route_1_0000001_15960,C103,D,Plaza Centro Sur,0,C103_r1
C103_route_2_0000001_16200,C103,D,Cabecera Municipal de Tlajomulco de Zuñiga,1,C103_r2
C103_trip_1,C103,LS,Plaza Centro Sur,0,C103_r1
C103_trip_2,C103,LS,Cabecera Municipal de Tlajomulco de Zuñiga,1,C103_r2
C104_route_1_0000001_20220,C104,D,Centro Metropolitano,0,C104_r1
C104_trip_1,C104,LS,Centro Metropolitano,0,C104_r1
C105_route_1_0000001_18120,C105,D,Central de Autobuses,0,C105_r1
C105_route_2_0000001_18000,C105,D,Senderos de Santiago,1,C105_r2
C105_trip_1,C105,LS,Central de Autobuses,0,C105_r1
C105_trip_2,C105,LS,Senderos de Santiago,1,C105_r2
C106_route_1_0000001_18660,C106,D,Central de Autobuses,0,C106_r1
C106_route_2_0000001_18000,C106,D,Vistas del Pedregal,1,C106_r2
C106_trip_1,C106,LS,Central de Autobuses,0,C106_r1
C106_trip_2,C106,LS,Vistas del Pedregal,1,C106_r2
C107_route_1_0000001_18000,C107,D,Los Pinos,0,C107_r1
C107_route_2_0000001_22860,C107,D,Panoramica de Huentitan,1,C107_r2
C107_trip_1,C107,LS,Los Pinos,0,C107_r1
C107_trip_2,C107,LS,Panoramica de Huentitan,1,C107_r2
C108_trip_1,C108,LD,Plaza del Sol,0,C108_r1
C109_route_1_0000001_21540,C109,D,Centro Metropolitano,0,C109_r1
C109_route_2_0000001_21180,C109,D,La Gloria del Colli,1,C109_r2
C109_trip_1,C109,LS,Centro Metropolitano,0,C109_r1
C109_trip_2,C109,LS,La Gloria del Colli,1,C109_r2
C10_route_1_0000001_16800,C10,D,Plaza Centro Sur,0,C10_r1
C10_route_2_0000001_19800,C10,D,Villas de San Sebastian,1,C10_r2
C10_trip_1,C10,LS,Plaza Centro Sur,0,C10_r1
C10_trip_2,C10,LS,Villas de San Sebastian,1,C10_r2
C110-V1_route_1_0000001_18480,C110-V1,D,Estacion Juarez Tren Electrico Urbano,0,C110-V1_r1
C110-V1_route_2_0000001_18600,C110-V1,D,Jardines de Nuevo Mexico,1,C110-V1_r2
C110-V1_trip_1,C110-V1,LS,Estacion Juarez Tren Electrico Urbano,0,C110-V1_r1
C110-V1_trip_2,C110-V1,LS,Jardines de Nuevo Mexico,1,C110-V1_r2
C110-V2_route_1_0000001_19920,C110-V2,D,Centro Metropolitano,0,C110-V2_r1
C110-V2_route_2_0000001_19800,C110-V2,D,La Primavera,1,C110-V2_r2
C110-V2_trip_1,C110-V2,LS,Centro Metropolitano,0,C110-V2_r1
C110-V2_trip_2,C110-V2,LS,La Primavera,1,C110-V2_r2
C111-V1_route_1_0000001_15900,C111-V1,D,Centro Metropolitano,0,C111-V1_r1
C111-V1_route_2_0000001_24300,C111-V1,D,Colinas del Roble,1,C111-V1_r2
C111-V1_trip_1,C111-V1,LS,Centro Metropolitano,0,C111-V1_r1
C111-V1_trip_2,C111-V1,LS,Colinas del Roble,1,C111-V1_r2
C111-V2_route_1_0000001_16800,C111-V2,D,Estacion Periferico Sur Linea 1 Tren Electrico Urbano,0,C111-V2_r1
C111-V2_route_2_0000001_20700,C111-V2,D,Lomas del Sur,1,C111-V2_r2
C111-V2_trip_1,C111-V2,LS,Estacion Periferico Sur Linea 1 Tren Electrico Urbano,0,C111-V2_r1
C111-V2_trip_2,C111-V2,LS,Lomas del Sur,1,C111-V2_r2
C111-V3_route_1_0000001_15600,C111-V3,D,Centro Metropolitano,0,C111-V3_r1
C111-V3_route_2_0000001_15900,C111-V3,D,Chulavista,1,C111-V3_r2
C111-V3_trip_1,C111-V3,LS,Centro Metropolitano,0,C111-V3_r1
C111-V3_trip_2,C111-V3,LS,Chulavista,1,C111-V3_r2
C112_route_1_0000001_16200,C112,D,Mercado de Abastos,0,C112_r1
C112_route_2_0000001_21060,C112,D,El Refugio,1,C112_r2
C112_trip_1,C112,LS,Mercado de Abastos,0,C112_r1
C112_trip_2,C112,LS,El Refugio,1,C112_r2
